Training Start. Model name: vgg16lrcn
[1/6] train_loss: 0.44326 train_accuracy: 85.35032valid_loss: 0.43368valid_accuracy: 85.71429
[2/6] train_loss: 0.41993 train_accuracy: 85.50955valid_loss: 0.42201valid_accuracy: 85.71429
[3/6] train_loss: 0.41457 train_accuracy: 85.56263valid_loss: 0.41327valid_accuracy: 85.71429
[4/6] train_loss: 0.42023 train_accuracy: 85.58917valid_loss: 0.41071valid_accuracy: 85.71429
[5/6] train_loss: 0.41574 train_accuracy: 85.60509valid_loss: 0.41060valid_accuracy: 85.71429
[6/6] train_loss: 0.40866 train_accuracy: 85.61572valid_loss: 0.41054valid_accuracy: 85.71429
Training Start. Model name: vgg16lrcn
Training Start. Model name: vgg16lrcn
Training Start. Model name: vgg16lrcn
Training Start. Model name: vgg16lrcn
epoch: 1; batch:1/32; train_loss:0.71
epoch: 1; batch:2/32; train_loss:0.69
epoch: 1; batch:3/32; train_loss:0.70
epoch: 1; batch:4/32; train_loss:0.70
epoch: 1; batch:5/32; train_loss:0.72
epoch: 1; batch:6/32; train_loss:0.65
epoch: 1; batch:7/32; train_loss:0.71
epoch: 1; batch:8/32; train_loss:0.71
epoch: 1; batch:9/32; train_loss:0.71
epoch: 1; batch:10/32; train_loss:0.66
epoch: 1; batch:11/32; train_loss:0.71
epoch: 1; batch:12/32; train_loss:0.69
epoch: 1; batch:13/32; train_loss:0.69
epoch: 1; batch:14/32; train_loss:0.70
epoch: 1; batch:15/32; train_loss:0.69
epoch: 1; batch:16/32; train_loss:0.71
epoch: 1; batch:17/32; train_loss:0.74
epoch: 1; batch:18/32; train_loss:0.69
epoch: 1; batch:19/32; train_loss:0.72
epoch: 1; batch:20/32; train_loss:0.69
epoch: 1; batch:21/32; train_loss:0.72
epoch: 1; batch:22/32; train_loss:0.69
epoch: 1; batch:23/32; train_loss:0.67
epoch: 1; batch:24/32; train_loss:0.66
epoch: 1; batch:25/32; train_loss:0.69
epoch: 1; batch:26/32; train_loss:0.72
epoch: 1; batch:27/32; train_loss:0.65
epoch: 1; batch:28/32; train_loss:0.76
epoch: 1; batch:29/32; train_loss:0.68
epoch: 1; batch:30/32; train_loss:0.75
epoch: 1; batch:31/32; train_loss:0.70
epoch: 1; batch:32/32; train_loss:0.78
epoch: 1; batch:1/13; valid_loss:0.69
epoch: 1; batch:2/13; valid_loss:0.69
epoch: 1; batch:3/13; valid_loss:0.69
epoch: 1; batch:4/13; valid_loss:0.69
epoch: 1; batch:5/13; valid_loss:0.69
epoch: 1; batch:6/13; valid_loss:0.69
epoch: 1; batch:7/13; valid_loss:0.69
epoch: 1; batch:8/13; valid_loss:0.69
epoch: 1; batch:9/13; valid_loss:0.69
epoch: 1; batch:10/13; valid_loss:0.69
